Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2018|16.540|13.033|6.455|16.848|21.755|3.256|3.425|25.495|28.657|2.704|3.416|8.262|1.563|6.114|33.279|20.470|18.835|1.989|1.083|5.257|2.608|15.038|42.397|6.124|5.476|36.885|2.594|15.903|65.177|5.623|21.130|30.093|1.711
03.01.2018|16.642|13.055|6.509|16.967|21.756|3.267|3.432|25.545|28.804|2.717|3.433|8.260|1.576|6.140|33.443|20.395|18.917|1.993|1.092|5.292|2.621|15.073|42.564|6.133|5.511|36.970|2.600|15.971|65.745|5.637|21.238|30.330|1.716
04.01.2018|16.562|13.044|6.532|16.876|21.691|3.258|3.426|25.510|28.644|2.707|3.431|8.268|1.576|6.139|33.372|20.367|18.768|1.989|1.094|5.281|2.612|15.053|42.505|6.139|5.510|37.030|2.597|15.911|65.669|5.625|21.160|30.180|1.719
05.01.2018|16.660|13.086|6.554|16.984|21.767|3.276|3.437|25.595|28.793|2.717|3.442|8.289|1.584|6.182|33.530|20.451|18.758|1.999|1.097|5.315|2.628|15.202|42.609|6.160|5.522|37.214|2.603|16.003|66.009|5.672|21.248|30.337|1.719
08.01.2018|16.700|13.048|6.574|17.157|21.797|3.282|3.428|25.525|28.869|2.726|3.430|8.264|1.588|6.197|33.576|20.396|18.865|1.997|1.106|5.335|2.636|15.284|42.485|6.126|5.524|37.342|2.600|16.000|66.203|5.686|21.324|30.432|1.715
09.01.2018|16.753|13.056|6.620|17.218|21.776|3.280|3.429|25.535|28.927|2.736|3.429|8.254|1.592|6.213|33.586|20.404|19.015|2.003|1.113|5.338|2.640|15.381|42.560|6.109|5.488|37.521|2.598|16.028|66.349|5.695|21.399|30.476|1.732
10.01.2018|16.721|13.067|6.563|17.124|21.803|3.278|3.433|25.565|28.834|2.725|3.432|8.251|1.586|6.214|33.517|20.427|19.128|1.995|1.105|5.323|2.651|15.351|42.173|6.114|5.510|37.375|2.606|15.996|66.360|5.610|21.315|30.301|1.713
11.01.2018|16.719|13.059|6.575|16.925|21.768|3.269|3.430|25.545|28.681|2.717|3.426|8.256|1.586|6.210|33.376|20.346|19.037|1.992|1.096|5.331|2.641|15.340|42.158|6.113|5.504|37.309|2.602|15.958|66.403|5.596|21.256|30.318|1.706
12.01.2018|16.553|13.046|6.554|16.795|21.653|3.255|3.426|25.520|28.676|2.687|3.428|8.266|1.574|6.183|33.058|20.327|18.920|1.979|1.101|5.294|2.642|15.258|41.740|6.118|5.504|37.142|2.595|15.846|65.764|5.597|21.025|29.917|1.696
15.01.2018|16.542|13.052|6.509|16.721|21.635|3.231|3.427|25.530|28.673|2.658|3.435|8.265|1.560|6.118|32.742|20.302|18.798|1.955|1.104|5.257|2.639|15.171|41.345|6.124|5.516|36.852|2.596|15.737|65.140|5.498|20.796|29.799|1.690
